AutoReverseDiff()
Iters: 40
QNDF{5, 0, true, Nothing, NLNewton{Rational{Int64}, Rational{Int64}, Rational{Int64}, Rational{Int64}}, typeof(OrdinaryDiffEqCore.DEFAULT_PRECS), Val{:forward}, true, nothing, Nothing, Nothing, NTuple{5, Rational{Int64}}, typeof(OrdinaryDiffEqCore.trivial_limiter!)}(Val{5}(), nothing, NLNewton{Rational{Int64}, Rational{Int64}, Rational{Int64}, Rational{Int64}}(1//100, 10, 1//5, 1//5, false, true, 0//1), OrdinaryDiffEqCore.DEFAULT_PRECS, nothing, nothing, :linear, (-37//200, -1//9, -823//10000, -83//2000, 0//1), :Standard, OrdinaryDiffEqCore.trivial_limiter!)
3mer
Peak Memory
1241.15625 MB
1449.53515625 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
1583.76953125 MB
